fas_code,course_code
PHIL 27,PHIL 27
PHIL 34,PHIL 34
PHIL 40,PHIL 40
PHIL 103,PHIL 103
PHIL 117,PHIL 117
PHIL 137,PHIL 137
PHIL 138,PHIL 138
PHIL 129,PHIL 129
PHIL 175,PHIL 175
PHIL 159A,PHIL 159A
PHIL 177I,PHIL 177I
PHIL 187,PHIL 187
PHIL 248,PHIL 248
PHYSCI 2,PHYSCI 2
PHYSICS 15A,PHYSICS 15A
PHYSCI 12B,PHYSCI 12B
PHYSICS 15B,PHYSICS 15B
PHYSICS 15C,PHYSICS 15C
PHYSICS 16,PHYSICS 16
PHYSICS 141,PHYSICS 141
PHYSICS 95,PHYSICS 95
PHYSICS 19,PHYSICS 19
PHYSICS 191,PHYSICS 191
PHYSICS 143A,PHYSICS 143A
PHYSICS 151,PHYSICS 151
PHYSICS 143B,PHYSICS 143B
PHYSICS 251A,PHYSICS 251A
PHYSICS 195A,PHYSICS 195A
PHYSICS 223A,PHYSICS 223A
PHYSICS 253A,PHYSICS 253A
PHYSICS 268AR,PHYSICS 268AR
PHYSICS 262,PHYSICS 262
PHS 2000A,PHS 2000A
PHYSICS 285B,PHYSICS 285B
PSY 14,PSY 14
PSY 15,PSY 15
PSY 1,PSY 1
PSY 1202,PSY 1202
PSY 1005,PSY 1005
PSY 1015,PSY 1015
PSY 1304,PSY 1304
PSY 1201,PSY 1201
PSY 1521,PSY 1521
PSY 1309,PSY 1309
PSY 1523,PSY 1523
PSY 1525,PSY 1525
PSY 1340,PSY 1340
PSY 1708,PSY 1708
PSY 1654,PSY 1654
PSY 1533,PSY 1533
PSY 1531,PSY 1531
PSY 1750,PSY 1750
PSY 1811,PSY 1811
PSY 1816,PSY 1816
PSY 1900,PSY 1900
PSY 1901,PSY 1901
PSY 1861,PSY 1861
PSY 1950,PSY 1950
PSY 2010,PSY 2010
PSY 2400,PSY 2400
PSY 2301,PSY 2301
PSY 2461R,PSY 2461R
PSY 2030,PSY 2030
PSY 2553R,PSY 2553R
PSY 3340,PSY 3340
PSY 2580R,PSY 2580R
PSY 2560R,PSY 2560R
PSY 2660R,PSY 2660R
RSEA 350,RSEA 350
RELIGION 40,RELIGION 40
RELIGION 55,RELIGION 55
RELIGION 1049,RELIGION 1049
RELIGION 1512,RELIGION 1512
RELIGION 1814,RELIGION 1814
FRENCH 62,FRENCH 62
RELIGION 2002,RELIGION 2002
FRENCH 30,FRENCH 30
FRENCH 62,FRENCH 62
FRENCH 70A,FRENCH 70A
FRENCH 80,FRENCH 80
FRENCH 88,FRENCH 88
FRENCH 180,FRENCH 180
ITAL 10,ITAL 10
ITAL 10,ITAL 10
ITAL 10,ITAL 10
ITAL 138,ITAL 138
ITAL 10,ITAL 10
PORTUG 40,PORTUG 40
SPANSH 30,SPANSH 30
ROM-STD 201,ROM-STD 201
SPANSH 11,SPANSH 11
SPANSH 11,SPANSH 11
SPANSH 50,SPANSH 50
SPANSH 49H,SPANSH 49H
SPANSH 61N,SPANSH 61N
SPANSH 59,SPANSH 59
SPANSH 61N,SPANSH 61N
SPANSH 89,SPANSH 89
SPANSH 70B,SPANSH 70B
SPANSH 122,SPANSH 122
SPANSH 147,SPANSH 147
SPANSH 129R,SPANSH 129R
RSRA 298A,RSRA 298A
RSRA 299A,RSRA 299A
BCS BA,BCS BA
RUSS AA,RUSS AA
PLSH CR,PLSH CR
RUSS BA,RUSS BA
RUSS 101,RUSS 101
RUSS HA,RUSS HA
RUSS 111,RUSS 111
RUSS 113,RUSS 113
SLAVIC 118,SLAVIC 118
SLAVIC 121,SLAVIC 121
SLAVIC 144,SLAVIC 144
SLAVIC 189,SLAVIC 189
SOC-STD 10A,SOC-STD 10A
SLAVIC 262,SLAVIC 262
SOC-STD 60,SOC-STD 60
SOC-STD 96AP,SOC-STD 96AP
SOC-STD 68RJ,SOC-STD 68RJ
SOC-STD 98AX,SOC-STD 98AX
SOC-STD 98DX,SOC-STD 98DX
SOC-STD 98NB,SOC-STD 98NB
SOC-STD 98LF,SOC-STD 98LF
SOC-STD 98PV,SOC-STD 98PV
SOC-STD 98SM,SOC-STD 98SM
SOC-STD 98TD,SOC-STD 98TD
SOC-STD 98UB,SOC-STD 98UB
SOCIOL 97,SOCIOL 97
SOCIOL 98DA,SOCIOL 98DA
SOCIOL 98AC,SOCIOL 98AC
SOCIOL 1046,SOCIOL 1046
SOCIOL 99A,SOCIOL 99A
SOCIOL 1104,SOCIOL 1104
SOCIOL 1112,SOCIOL 1112
SOCIOL 1131,SOCIOL 1131
SOCIOL 1152,SOCIOL 1152
SOCIOL 1159,SOCIOL 1159
SOCIOL 1136,SOCIOL 1136
SOCIOL 1163,SOCIOL 1163
SOCIOL 1166,SOCIOL 1166
SOCIOL 1173,SOCIOL 1173
SOCIOL 1181,SOCIOL 1181
SOCIOL 1177,SOCIOL 1177
SOCIOL 1186,SOCIOL 1186
SOCIOL 2202,SOCIOL 2202
SOCIOL 2282,SOCIOL 2282
SOCIOL 3305,SOCIOL 3305
SOCIOL 3310,SOCIOL 3310
SOCIOL 2278,SOCIOL 2278
SOCIOL 2203,SOCIOL 2203
HIND-URD 101A,HIND-URD 101A
SOCIOL 2204,SOCIOL 2204
SANSKRIT 102AR,SANSKRIT 102AR
HIND-URD 102A,HIND-URD 102A
SANSKRIT 101A,SANSKRIT 101A
SANSKRIT 200AR,SANSKRIT 200AR
TAM 101A,TAM 101A
STAT 104,STAT 104
STAT 99R,STAT 99R
STAT 110,STAT 110
STAT 120,STAT 120
STAT 151,STAT 151
STAT 121A,STAT 121A
STAT 139,STAT 139
STAT 210,STAT 210
STAT 244,STAT 244
STAT 216,STAT 216
STAT 211,STAT 211
STAT 300HFRA,STAT 300HFRA
SCRB 10,SCRB 10
SCRB 91R,SCRB 91R
SCRB 111,SCRB 111
SCRB 175,SCRB 175
STAT 185,STAT 185
SCRB 190,SCRB 190
SCRB 195,SCRB 195
SCRB 197,SCRB 197
SCRB 297,SCRB 297
SYSBIO 232,SYSBIO 232
TDM 109,TDM 109
LPCE 101,LPCE 101
TDM 98,TDM 98
TDM 111,TDM 111
TDM 119,TDM 119
TDM 120,TDM 120
TDM 121K,TDM 121K
TDM 130R,TDM 130R
TDM 164H,TDM 164H
TDM 149,TDM 149
TDM 169S,TDM 169S
TDM 173X,TDM 173X
TDM 182B,TDM 182B
WOMGEN 97,WOMGEN 97
TDM 181B,TDM 181B
WOMGEN 1127,WOMGEN 1127
WOMGEN 1204,WOMGEN 1204
WOMGEN 1210FT,WOMGEN 1210FT
WOMGEN 1421,WOMGEN 1421
WOMGEN 1217,WOMGEN 1217
WOMGEN 1283,WOMGEN 1283
PORTUG 62,PORTUG 62
FRENCH 64,FRENCH 64
FRSEMR 72I,FRSEMR 72I
GENED 1181,GENED 1181
ENGLISH 182,ENGLISH 182
FRSEMR 65F,FRSEMR 65F
GENED 1076,GENED 1076
