fas_code,course_code
CHNSE 130A,CHNSE 130A
CHNSE 130A,CHNSE 130A
CHNSE 130XA,CHNSE 130XA
CHNSE 130XA,CHNSE 130XA
CHNSE 140A,CHNSE 140A
CHNSE 140XA,CHNSE 140XA
CHNSE 140XA,CHNSE 140XA
CHNSHIS 229R,CHNSHIS 229R
CHNSHIS 232R,CHNSHIS 232R
CHNSHIS 253,CHNSHIS 253
CHNSLIT 114,CHNSLIT 114
CHNSLIT 140,CHNSLIT 140
EAFM 200,EAFM 200
CHNSLIT 212,CHNSLIT 212
EASTD 194,EASTD 194
JAPAN BA,JAPAN BA
JAPAN BA,JAPAN BA
EASTD 199,EASTD 199
JAPAN BA,JAPAN BA
JAPAN 120A,JAPAN 120A
JAPAN 130A,JAPAN 130A
JAPAN 130A,JAPAN 130A
JAPAN 120A,JAPAN 120A
JAPAN 210A,JAPAN 210A
JAPNLIT 124,JAPNLIT 124
KOREAN BA,KOREAN BA
KOREAN BA,KOREAN BA
KOREAN BA,KOREAN BA
KOREAN BX,KOREAN BX
KOREAN 120A,KOREAN 120A
KOREAN 140A,KOREAN 140A
KOREAN 130A,KOREAN 130A
KORHIST 141,KORHIST 141
KORLIT 134,KORLIT 134
ECON 10A,ECON 10A
VIETNAM BA,VIETNAM BA
ECON 70,ECON 70
ECON 970,ECON 970
ECON 985A,ECON 985A
ECON 1010B,ECON 1010B
ECON 990B,ECON 990B
ECON 1010A,ECON 1010A
ECON 1011A,ECON 1011A
ECON 1017,ECON 1017
ECON 1057,ECON 1057
ECON 1021,ECON 1021
ECON 1080,ECON 1080
ECON 1126,ECON 1126
ECON 1410,ECON 1410
ECON 1420,ECON 1420
ECON 1123,ECON 1123
ECON 1436,ECON 1436
ECON 1432,ECON 1432
ECON 1499,ECON 1499
ECON 1535,ECON 1535
ECON 1545,ECON 1545
ECON 1644,ECON 1644
ECON 1723,ECON 1723
ECON 1936,ECON 1936
ECON 2010A,ECON 2010A
ECON 2010C,ECON 2010C
ECON 2020A,ECON 2020A
ECON 2040,ECON 2040
ECON 2110,ECON 2110
ECON 2120,ECON 2120
ECON 2248,ECON 2248
ECON 2360,ECON 2360
ECON 2410A,ECON 2410A
ECON 2450A,ECON 2450A
ECON 2723,ECON 2723
ECON 2610,ECON 2610
ECON 2725,ECON 2725
ECON 2810A,ECON 2810A
ECON 2905,ECON 2905
ECON 2906,ECON 2906
ECON 2912,ECON 2912
ECON 3011,ECON 3011
ECON 3012,ECON 3012
EDST 104,EDST 104
ENG-SCI 53,ENG-SCI 53
ENG-SCI 51,ENG-SCI 51
ENG-SCI 95R,ENG-SCI 95R
ENG-SCI 96,ENG-SCI 96
ENG-SCI 91HFR,ENG-SCI 91HFR
ENG-SCI 111,ENG-SCI 111
ENG-SCI 125,ENG-SCI 125
ENG-SCI 139,ENG-SCI 139
ENG-SCI 152,ENG-SCI 152
ENG-SCI 155,ENG-SCI 155
ENG-SCI 157,ENG-SCI 157
ENG-SCI 159,ENG-SCI 159
ENG-SCI 173,ENG-SCI 173
ENG-SCI 222,ENG-SCI 222
ENG-SCI 239,ENG-SCI 239
ENG-SCI 192,ENG-SCI 192
ENG-SCI 181,ENG-SCI 181
ENG-SCI 241,ENG-SCI 241
ENG-SCI 273,ENG-SCI 273
ENG-SCI 250,ENG-SCI 250
ENG-SCI 259,ENG-SCI 259
ENG-SCI 274,ENG-SCI 274
ENG-SCI 291,ENG-SCI 291
ENG-SCI 297,ENG-SCI 297
ENGLISH CAFR,ENGLISH CAFR
ENGLISH CACF,ENGLISH CACF
ENGLISH CBN,ENGLISH CBN
ENGLISH CAJR,ENGLISH CAJR
ENGLISH CBBR,ENGLISH CBBR
ENGLISH CCFC,ENGLISH CCFC
ENGLISH CFF,ENGLISH CFF
ENGLISH CIJR,ENGLISH CIJR
ENGLISH CGF,ENGLISH CGF
ENGLISH CIHR,ENGLISH CIHR
ENGLISH CHCR,ENGLISH CHCR
ENGLISH CKR,ENGLISH CKR
ENGLISH CLR,ENGLISH CLR
ENGLISH CMAG,ENGLISH CMAG
ENGLISH CMAG,ENGLISH CMAG
ENGLISH CNS,ENGLISH CNS
ENGLISH CNSR,ENGLISH CNSR
ENGLISH CTV,ENGLISH CTV
ENGLISH CWP,ENGLISH CWP
ENGLISH CSGJ,ENGLISH CSGJ
ENGLISH 10,ENGLISH 10
ENGLISH 90HB,ENGLISH 90HB
ENGLISH 90CNC,ENGLISH 90CNC
ENGLISH 20,ENGLISH 20
ENGLISH 90HP,ENGLISH 90HP
ENGLISH 90KB,ENGLISH 90KB
ENGLISH 119TY,ENGLISH 119TY
ENGLISH 90LL,ENGLISH 90LL
ENGLISH 97,ENGLISH 97
ENGLISH 102E,ENGLISH 102E
ENGLISH 145A,ENGLISH 145A
ENGLISH 176TM,ENGLISH 176TM
ENGLISH 152KD,ENGLISH 152KD
ENGLISH 179H,ENGLISH 179H
ENGLISH 181A,ENGLISH 181A
ENGLISH 184CF,ENGLISH 184CF
ENGLISH 185E,ENGLISH 185E
ENGLISH 197GR,ENGLISH 197GR
ENGLISH 231,ENGLISH 231
ENGLISH 290EH,ENGLISH 290EH
ENGLISH 287AG,ENGLISH 287AG
ESE 137,ESE 137
ENGLISH 297C,ENGLISH 297C
ESE 168,ESE 168
ESPP 77,ESPP 77
ESE 160,ESE 160
ESPP 90N,ESPP 90N
ESPP 90K,ESPP 90K
ESPP 90G,ESPP 90G
ESPP 91R,ESPP 91R
EMR 131,EMR 131
EMR 141,EMR 141
EMR 133,EMR 133
EMR 147,EMR 147
EMR 146,EMR 146
EMR 1010,EMR 1010
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 10,EXPOS 10
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 20,EXPOS 20
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
EXPOS 40,EXPOS 40
FOLKMYTH 111,FOLKMYTH 111
FOLKMYTH 133,FOLKMYTH 133
FRSEMR 21I,FRSEMR 21I
FRSEMR 21W,FRSEMR 21W
FOLKMYTH 176,FOLKMYTH 176
FRSEMR 22I,FRSEMR 22I
FRSEMR 23C,FRSEMR 23C
FRSEMR 23I,FRSEMR 23I
FRSEMR 24G,FRSEMR 24G
FRSEMR 23Y,FRSEMR 23Y
FRSEMR 25N,FRSEMR 25N
FRSEMR 24Q,FRSEMR 24Q
FRSEMR 26F,FRSEMR 26F
FRSEMR 26J,FRSEMR 26J
FRSEMR 26K,FRSEMR 26K
FRSEMR 25X,FRSEMR 25X
FRSEMR 26O,FRSEMR 26O
FRSEMR 30G,FRSEMR 30G
FRSEMR 27I,FRSEMR 27I
FRSEMR 33X,FRSEMR 33X
FRSEMR 31J,FRSEMR 31J
FRSEMR 35N,FRSEMR 35N
FRSEMR 40J,FRSEMR 40J
FRSEMR 41K,FRSEMR 41K
FRSEMR 40P,FRSEMR 40P
FRSEMR 37Y,FRSEMR 37Y
FRSEMR 41P,FRSEMR 41P
FRSEMR 41R,FRSEMR 41R
FRSEMR 42H,FRSEMR 42H
FRSEMR 43C,FRSEMR 43C
FRSEMR 43W,FRSEMR 43W
FRSEMR 49N,FRSEMR 49N
FRSEMR 51C,FRSEMR 51C
FRSEMR 50R,FRSEMR 50R
FRSEMR 50S,FRSEMR 50S
FRSEMR 50Y,FRSEMR 50Y
FRSEMR 51M,FRSEMR 51M
FRSEMR 51S,FRSEMR 51S
FRSEMR 51V,FRSEMR 51V
FRSEMR 52C,FRSEMR 52C
FRSEMR 51P,FRSEMR 51P
FRSEMR 52F,FRSEMR 52F
FRSEMR 52L,FRSEMR 52L
FRSEMR 52K,FRSEMR 52K
FRSEMR 52M,FRSEMR 52M
FRSEMR 60H,FRSEMR 60H
FRSEMR 61Q,FRSEMR 61Q
FRSEMR 62J,FRSEMR 62J
FRSEMR 62I,FRSEMR 62I
FRSEMR 62O,FRSEMR 62O
FRSEMR 62U,FRSEMR 62U
FRSEMR 63C,FRSEMR 63C
FRSEMR 63F,FRSEMR 63F
FRSEMR 63J,FRSEMR 63J
FRSEMR 63L,FRSEMR 63L
FRSEMR 63N,FRSEMR 63N
FRSEMR 63O,FRSEMR 63O
FRSEMR 63T,FRSEMR 63T
FRSEMR 64J,FRSEMR 64J
FRSEMR 64K,FRSEMR 64K
FRSEMR 64H,FRSEMR 64H
FRSEMR 64L,FRSEMR 64L
FRSEMR 64M,FRSEMR 64M
FRSEMR 64Q,FRSEMR 64Q
FRSEMR 70J,FRSEMR 70J
FRSEMR 70H,FRSEMR 70H
FRSEMR 70K,FRSEMR 70K
FRSEMR 71G,FRSEMR 71G
FRSEMR 71R,FRSEMR 71R
FRSEMR 72M,FRSEMR 72M
FRSEMR 71Y,FRSEMR 71Y
FRSEMR 71O,FRSEMR 71O
FRSEMR 72O,FRSEMR 72O
FRSEMR 72P,FRSEMR 72P
GENED 1004,GENED 1004
GENED 1002,GENED 1002
GENED 1001,GENED 1001
GENED 1006,GENED 1006
GENED 1011,GENED 1011
GENED 1018,GENED 1018
GENED 1019,GENED 1019
GENED 1033,GENED 1033
GENED 1023,GENED 1023
GENED 1038,GENED 1038
GENED 1034,GENED 1034
GENED 1041,GENED 1041
GENED 1043,GENED 1043
GENED 1044,GENED 1044
GENED 1053,GENED 1053
GENED 1056,GENED 1056
GENED 1074,GENED 1074
GENED 1071,GENED 1071
GENED 1079,GENED 1079
GENED 1080,GENED 1080
GENED 1091,GENED 1091
GENED 1092,GENED 1092
GENED 1093,GENED 1093
GENED 1097,GENED 1097
GENED 1094,GENED 1094
GENED 1098,GENED 1098
GENED 1104,GENED 1104
GENED 1105,GENED 1105
GENED 1111,GENED 1111
GENED 1116,GENED 1116
GENED 1120,GENED 1120
GENED 1130,GENED 1130
GENED 1136,GENED 1136
GENED 1143,GENED 1143
GENED 1145,GENED 1145
GENED 1147,GENED 1147
GENED 1174,GENED 1174
GENED 1166,GENED 1166
GENED 1175,GENED 1175
GERMAN 102,GERMAN 102
GERMAN 20B,GERMAN 20B
GENED 1177,GENED 1177
GERMAN 143,GERMAN 143
GOV 20,GOV 20
GHHP 30,GHHP 30
GERMAN 189,GERMAN 189
GOV 30,GOV 30
GOV 93CJ,GOV 93CJ
GOV 94CD,GOV 94CD
GOV 94BC,GOV 94BC
GOV 94EK,GOV 94EK
GOV 94BL,GOV 94BL
GOV 94GK,GOV 94GK
GOV 94GO,GOV 94GO
GOV 94GD,GOV 94GD
GOV 94HJ,GOV 94HJ
GOV 94NS,GOV 94NS
GOV 94NW,GOV 94NW
GOV 94PY,GOV 94PY
GOV 94OF,GOV 94OF
GOV 94RC,GOV 94RC
GOV 94RG,GOV 94RG
GOV 94SN,GOV 94SN
GOV 1010,GOV 1010
GOV 1008,GOV 1008
GOV 94WY,GOV 94WY
GOV 1033,GOV 1033
GOV 1021,GOV 1021
GOV 1115,GOV 1115
GOV 1074,GOV 1074
GOV 1060,GOV 1060
GOV 1190,GOV 1190
GOV 1292,GOV 1292
GOV 1243,GOV 1243
GOV 1316,GOV 1316
GOV 1372,GOV 1372
GOV 1433,GOV 1433
GOV 1730,GOV 1730
GOV 1510,GOV 1510
GOV 1735,GOV 1735
GOV 1740,GOV 1740
GOV 1783,GOV 1783
GOV 1780,GOV 1780
GOV 1790,GOV 1790
GOV 1796,GOV 1796
GOV 2001,GOV 2001
GOV 1982,GOV 1982
GOV 2213,GOV 2213
GOV 2024,GOV 2024
GOV 2005,GOV 2005
GOV 2003,GOV 2003
GOV 2305,GOV 2305
GOV 2525,GOV 2525
GOV 2340A,GOV 2340A
GOV 2761,GOV 2761
GOV 3002,GOV 3002
HLTHPOL 3040,HLTHPOL 3040
GOV 3005A,GOV 3005A
HLTHPOL 2000A,HLTHPOL 2000A
HIST 12W,HIST 12W
HIST 13T,HIST 13T
HIST 12F,HIST 12F
HIST 12T,HIST 12T
HIST 99A,HIST 99A
HIST 60O,HIST 60O
HIST 1026,HIST 1026
HIST 1017,HIST 1017
HIST 1028,HIST 1028
HIST 1036,HIST 1036
HIST 1125,HIST 1125
HIST 1056,HIST 1056
HIST 1206,HIST 1206
HIST 1155,HIST 1155
HIST 1300,HIST 1300
HIST 1390,HIST 1390
HIST 1208,HIST 1208
HIST 1220,HIST 1220
HIST 1265,HIST 1265
HIST 1412,HIST 1412
HIST 1405,HIST 1405
HIST 1520,HIST 1520
HIST 1511,HIST 1511
HIST 1700,HIST 1700
HIST 1878B,HIST 1878B
HIST 1908,HIST 1908
HIST 1776,HIST 1776
HIST 1993,HIST 1993
HIST 2006,HIST 2006
HIST 2331,HIST 2331
HIST 2271,HIST 2271
HIST 2277,HIST 2277
HIST 2636,HIST 2636
