index,fas_code,enrollment
158,FAS-160624-2218-1-1-001,60
159,FAS-160579-2218-1-1-001,36
160,FAS-114807-2218-1-1-001,12
161,FAS-213653-2218-1-1-001,28
162,FAS-156936-2218-1-1-001,13
163,FAS-112867-2218-1-1-001,30
164,FAS-120238-2218-1-1-001,22
165,FAS-113944-2218-1-1-001,17
166,FAS-216811-2218-1-1-001,27
167,FAS-203888-2218-1-1-001,33
168,FAS-128224-2218-1-1-001,25
169,FAS-126174-2218-1-1-001,8
170,FAS-126141-2218-1-1-001,14
171,FAS-111855-2218-1-1-001,10
172,FAS-216421-2218-1-1-001,31
173,FAS-122549-2218-1-1-001,14
174,FAS-120783-2218-1-1-001,9
175,FAS-218700-2218-1-1-001,12
176,FAS-113873-2218-1-1-002,9
177,FAS-113873-2218-1-1-003,18
178,FAS-113873-2218-1-1-001,35
179,FAS-113873-2218-1-1-005,18
180,FAS-113873-2218-1-1-004,14
181,FAS-120305-2218-1-1-001,12
182,FAS-120305-2218-1-1-002,14
183,FAS-120305-2218-1-1-003,11
184,FAS-113793-2218-1-1-001,19
185,FAS-113793-2218-1-1-002,10
186,FAS-110543-2218-1-1-001,7
187,FAS-113793-2218-1-1-003,12
188,FAS-159629-2218-1-1-001,13
189,FAS-159629-2218-1-1-002,12
190,FAS-159629-2218-1-1-003,17
191,FAS-124235-2218-1-1-001,11
192,FAS-124235-2218-1-1-002,9
193,FAS-111129-2218-1-1-002,9
194,FAS-207494-2218-1-1-002,10
195,FAS-207494-2218-1-1-001,9
196,FAS-127774-2218-1-1-01,8
197,FAS-117082-2218-1-1-01,8
198,FAS-125694-2218-1-1-01,10
199,FAS-125194-2218-1-1-01,7
200,FAS-108229-2218-1-1-01,13
201,FAS-123508-2218-1-1-01,9
202,FAS-203529-2218-1-1-01,10
203,FAS-218171-2218-1-1-01,13
204,FAS-111193-2218-1-1-001,27
205,FAS-111193-2218-1-1-003,11
206,FAS-215837-2218-1-1-01,41
207,FAS-111193-2218-1-1-002,13
208,FAS-159595-2218-1-1-001,11
209,FAS-114292-2218-1-1-001,10
210,FAS-114292-2218-1-1-002,8
211,FAS-159595-2218-1-1-002,7
212,FAS-125813-2218-1-1-001,8
213,FAS-123007-2218-1-1-01,12
214,FAS-124296-2218-1-1-002,20
215,FAS-124296-2218-1-1-003,6
216,FAS-124296-2218-1-1-001,19
217,FAS-114383-2218-1-1-001,13
218,FAS-117220-2218-1-1-001,17
219,FAS-116633-2218-1-1-001,6
220,FAS-111235-2218-1-1-001,10
221,FAS-218365-2218-1-1-01,6
222,FAS-205281-2218-1-1-01,8
223,FAS-113326-2218-1-1-001,764
224,FAS-116266-2218-1-1-001,12
225,FAS-218117-2218-1-1-001,68
226,FAS-122752-2218-1-1-T08,10
227,FAS-120541-2218-1-1-S01,8
228,FAS-112062-2218-1-1-001,96
229,FAS-159994-2218-1-1-001,5
230,FAS-108901-2218-1-1-001,356
231,FAS-120711-2218-1-1-001,86
232,FAS-119951-2218-1-1-001,233
233,FAS-203555-2218-1-1-001,49
234,FAS-218817-2218-1-1-001,171
235,FAS-160362-2218-1-1-001,6
236,FAS-113637-2218-1-1-001,58
237,FAS-117818-2218-1-1-001,32
238,FAS-123003-2218-1-1-001,41
239,FAS-123033-2218-1-1-001,119
240,FAS-211204-2218-1-1-001,48
241,FAS-127519-2218-1-1-001,25
242,FAS-217408-2218-1-1-001,15
243,FAS-111749-2218-1-1-001,9
244,FAS-111477-2218-1-1-001,33
245,FAS-217793-2218-1-1-001,96
246,FAS-111105-2218-1-1-001,26
247,FAS-107388-2218-1-1-001,10
248,FAS-124134-2218-1-1-001,22
249,FAS-111213-2218-1-1-001,27
250,FAS-112942-2218-1-1-001,41
251,FAS-123849-2218-1-1-001,11
252,FAS-120668-2218-1-1-1,25
253,FAS-115026-2218-1-1-1,30
254,FAS-218280-2218-1-2-001,25
255,FAS-207641-2218-1-1-001,15
256,FAS-125372-2218-1-1-001,8
257,FAS-110660-2218-1-1-001,28
258,FAS-111998-2218-1-1-001,9
259,FAS-113404-2218-1-1-001,20
260,FAS-110731-2218-1-1-1,12
261,FAS-114301-2218-1-1-001,23
262,FAS-208001-2218-1-1-001,20
263,FAS-211332-2218-1-1-001,16
264,FAS-210859-2218-1-1-001,21
265,FAS-115030-2218-1-1-001,17
266,FAS-111404-2218-1-1-001,42
267,FAS-218917-2218-1-1-001,8
268,FAS-122339-2218-1-1-001,41
269,FAS-148434-2218-1-1-001,25
270,FAS-109272-2218-1-1-001,30
271,FAS-144983-2218-1-1-001,17
272,FAS-208045-2218-1-1-001,19
273,FAS-156287-2218-1-1-001,34
274,FAS-144157-2218-1-1-001,33
275,FAS-118939-2218-1-1-001,252
276,FAS-207597-2218-1-1-001,22
277,FAS-207626-2218-1-1-001,27
278,FAS-109358-2218-1-1-001,14
279,FAS-131554-2218-1-1-001,29
280,FAS-119048-2218-1-1-001,17
281,FAS-114808-2218-1-1-001,17
282,FAS-118942-2218-1-1-001,252
283,FAS-216405-2218-1-1-001,33
284,FAS-135598-2218-1-1-001,38
285,FAS-148181-2218-1-1-001,14
286,FAS-123351-2218-1-1-001,9
287,FAS-119057-2218-1-1-001,11
288,FAS-134052-2218-1-1-001,29
289,FAS-118028-2218-1-1-001,13
290,FAS-156219-2218-1-1-001,15
291,FAS-207614-2218-1-1-001,16
292,FAS-160953-2218-1-1-001,10
