fas_code,enrollment,course_code
FAS-121778-2218-1-1-001,265,GENED 1091
FAS-119025-2218-1-1-001,77,GENED 1092
FAS-124127-2218-1-1-001,187,GENED 1093
FAS-125216-2218-1-1-001,93,GENED 1097
FAS-126633-2218-1-1-001,167,GENED 1094
FAS-112430-2218-1-1-001,62,GENED 1098
FAS-126638-2218-1-1-001,113,GENED 1104
FAS-112378-2218-1-1-001,102,GENED 1105
FAS-218236-2218-1-1-001,43,GENED 1111
FAS-108405-2218-1-1-001,138,GENED 1116
FAS-107821-2218-1-1-001,162,GENED 1120
FAS-108482-2218-1-1-001,59,GENED 1130
FAS-142451-2218-1-1-001,52,GENED 1136
FAS-215897-2218-1-1-001,44,GENED 1143
FAS-159550-2218-1-1-001,56,GENED 1145
FAS-126205-2218-1-1-001,74,GENED 1147
FAS-218234-2218-1-1-001,68,GENED 1174
FAS-118775-2218-1-1-001,30,GENED 1166
FAS-218475-2218-1-1-001,78,GENED 1175
FAS-159710-2218-1-1-1,11,GERMAN 102
FAS-111796-2218-1-1-001,7,GERMAN 20B
FAS-112218-2218-1-1-001,36,GENED 1177
FAS-203214-2218-1-1-001,5,GERMAN 143
FAS-117853-2218-1-1-001,208,GOV 20
FAS-216336-2218-1-1-001,21,GHHP 30
FAS-218347-2218-1-1-1,7,GERMAN 189
FAS-111813-2218-1-1-001,52,GOV 30
FAS-217866-2218-1-1-001,17,GOV 93CJ
FAS-213436-2218-1-1-001,8,GOV 94CD
FAS-218269-2218-1-1-001,15,GOV 94BC
FAS-125573-2218-1-1-001,15,GOV 94EK
FAS-218265-2218-1-1-001,13,GOV 94BL
FAS-109731-2218-1-1-001,13,GOV 94GK
FAS-108915-2218-1-1-001,16,GOV 94GO
FAS-218732-2218-1-1-001,11,GOV 94GD
FAS-214573-2218-1-1-001,18,GOV 94HJ
FAS-218598-2218-1-1-001,8,GOV 94NS
FAS-203474-2218-1-1-001,11,GOV 94NW
FAS-109733-2218-1-1-001,13,GOV 94PY
FAS-128009-2218-1-1-001,9,GOV 94OF
FAS-218734-2218-1-1-001,9,GOV 94RC
FAS-205265-2218-1-1-001,13,GOV 94RG
FAS-218270-2218-1-1-001,11,GOV 94SN
FAS-119479-2218-1-1-001,23,GOV 1010
FAS-122850-2218-1-1-001,25,GOV 1008
FAS-218528-2218-1-1-001,13,GOV 94WY
FAS-204038-2218-1-1-001,11,GOV 1033
FAS-207780-2218-1-1-001,15,GOV 1021
FAS-127064-2218-1-1-001,11,GOV 1115
FAS-156108-2218-1-1-001,30,GOV 1074
FAS-114754-2218-1-1-001,54,GOV 1060
FAS-121735-2218-1-1-001,17,GOV 1190
FAS-109554-2218-1-1-001,17,GOV 1292
FAS-111162-2218-1-1-001,17,GOV 1243
FAS-218259-2218-1-1-001,35,GOV 1316
FAS-126926-2218-1-1-001,90,GOV 1372
FAS-207711-2218-1-1-001,33,GOV 1433
FAS-119407-2218-1-1-001,20,GOV 1730
FAS-128024-2218-1-1-001,103,GOV 1510
FAS-147213-2218-1-1-001,5,GOV 1735
FAS-118526-2218-1-1-001,28,GOV 1740
FAS-207984-2218-1-1-001,14,GOV 1783
FAS-111906-2218-1-1-001,24,GOV 1780
FAS-156115-2218-1-1-001,144,GOV 1790
FAS-113210-2218-1-1-001,9,GOV 1796
FAS-124780-2218-1-1-001,31,GOV 2001
FAS-111556-2218-1-1-001,38,GOV 1982
FAS-156438-2218-1-1-001,9,GOV 2213
FAS-143033-2218-1-1-001,13,GOV 2024
FAS-110953-2218-1-1-001,11,GOV 2005
FAS-160566-2218-1-1-001,27,GOV 2003
FAS-111410-2218-1-1-001,8,GOV 2305
FAS-108967-2218-1-1-001,14,GOV 2525
FAS-128283-2218-1-1-001,10,GOV 2340A
FAS-148283-2218-1-1-001,6,GOV 2761
FAS-143023-2218-1-1-001,17,GOV 3002
FAS-207863-2218-1-1-001,27,HLTHPOL 3040
FAS-107770-2218-1-1-001,13,GOV 3005A
FAS-113988-2218-1-1-001,12,HLTHPOL 2000A
FAS-218336-2218-1-1-01,17,HIST 12W
FAS-207010-2218-1-1-01,15,HIST 13T
FAS-216000-2218-1-1-01,8,HIST 12F
FAS-218188-2218-1-1-01,15,HIST 12T
FAS-116853-2218-1-1-001,31,HIST 99A
FAS-156667-2218-1-1-01,15,HIST 60O
FAS-124213-2218-1-1-01,23,HIST 1026
FAS-218149-2218-1-1-01,17,HIST 1017
FAS-123124-2218-1-1-01,46,HIST 1028
FAS-116237-2218-1-1-01,14,HIST 1036
FAS-213257-2218-1-1-01,14,HIST 1125
FAS-212671-2218-1-1-01,28,HIST 1056
FAS-109409-2218-1-1-01,7,HIST 1206
FAS-107973-2218-1-1-01,50,HIST 1155
FAS-119533-2218-1-1-01,28,HIST 1300
FAS-120921-2218-1-1-01,7,HIST 1390
FAS-218544-2218-1-1-01,28,HIST 1208
FAS-218602-2218-1-1-01,28,HIST 1220
FAS-110285-2218-1-1-01,35,HIST 1265
FAS-109423-2218-1-1-01,11,HIST 1412
FAS-127948-2218-1-1-01,16,HIST 1405
FAS-109436-2218-1-1-01,20,HIST 1520
FAS-108530-2218-1-1-01,30,HIST 1511
FAS-124404-2218-1-1-01,13,HIST 1700
FAS-148158-2218-1-1-01,20,HIST 1878B
FAS-205076-2218-1-1-01,31,HIST 1908
FAS-203018-2218-1-1-01,28,HIST 1776
FAS-156564-2218-1-1-01,7,HIST 1993
FAS-206979-2218-1-1-01,17,HIST 2006
FAS-128056-2218-1-1-01,13,HIST 2331
FAS-122085-2218-1-1-01,10,HIST 2271
FAS-109605-2218-1-1-01,7,HIST 2277
FAS-218907-2218-1-1-01,10,HIST 2636
FAS-125097-2218-1-1-001,18,HIST 3920A
FAS-159554-2218-1-1-01,8,HIST 2707
FAS-110673-2218-1-1-001,11,HIST 3900
FAS-108091-2218-1-1-001,11,HIST-LIT 90AT
FAS-212821-2218-1-1-001,15,HIST-LIT 90DR
FAS-216237-2218-1-1-001,10,HIST-LIT 90EO
FAS-216233-2218-1-1-001,15,HIST-LIT 90EK
FAS-216231-2218-1-1-001,8,HIST-LIT 90EI
FAS-216232-2218-1-1-001,14,HIST-LIT 90EJ
FAS-216239-2218-1-1-001,11,HIST-LIT 90EQ
FAS-216326-2218-1-1-001,17,HIST-LIT 90ES
FAS-218272-2218-1-1-001,11,HIST-LIT 90EV
FAS-218273-2218-1-1-001,10,HIST-LIT 90EW
FAS-218271-2218-1-1-001,14,HIST-LIT 90EU
FAS-218274-2218-1-1-001,8,HIST-LIT 90EX
FAS-218276-2218-1-1-001,10,HIST-LIT 90EZ
FAS-218275-2218-1-1-001,7,HIST-LIT 90EY
FAS-118347-2218-1-1-001,28,HAA 18K
FAS-218311-2218-1-1-001,15,HIST-LIT 90FB
FAS-215760-2218-1-1-001,16,HAA 45M
FAS-126539-2218-1-1-001,15,HAA 97R
FAS-218044-2218-1-1-001,14,HAA 81
FAS-218047-2218-1-1-001,30,HAA 63
FAS-207690-2218-1-1-001,6,HAA 92R
FAS-110650-2218-1-1-001,12,HAA 98AR
FAS-127465-2218-1-1-001,11,HAA 171M
FAS-114575-2218-1-1-001,14,HAA 197
FAS-218152-2218-1-1-001,30,HAA 177M
FAS-218043-2218-1-1-001,14,HAA 155M
FAS-212948-2218-1-1-001,7,HAA 267K
FAS-218045-2218-1-1-001,12,HAA 278P
FAS-109660-2218-1-1-001,48,HISTSCI 98
FAS-218042-2218-1-1-001,7,HAA 290P
FAS-218048-2218-1-1-001,12,HAA 285P
FAS-118977-2218-1-1-001,29,HISTSCI 99A
FAS-118977-2218-1-1-002,7,HISTSCI 99A
FAS-123398-2218-1-1-001,92,HISTSCI 100
FAS-123396-2218-1-1-001,30,HISTSCI 1334
FAS-212935-2218-1-1-001,15,HISTSCI 1441
FAS-218843-2218-1-1-001,20,HISTSCI 1460
FAS-218842-2218-1-1-001,13,HISTSCI 1471
FAS-218686-2218-1-1-001,16,HISTSCI 1480
FAS-160496-2218-1-1-001,26,HISTSCI 1770
FAS-218690-2218-1-1-001,17,HISTSCI 1780
FAS-218691-2218-1-1-001,33,HISTSCI 1932
FAS-218687-2218-1-1-001,13,HISTSCI 2110
FAS-203602-2218-1-1-001,11,HISTSCI 3003A
FAS-218688-2218-1-1-001,10,HISTSCI 2812
FAS-122718-2218-1-1-001,12,HISTSCI 2985
FAS-159565-2218-1-1-001,28,HEB 1290
FAS-122595-2218-1-1-001,7,HEB 99A
FAS-113837-2218-1-1-001,16,HEB 1330
FAS-110603-2218-1-1-001,35,HEB 1380
FAS-217870-2218-1-1-001,15,HEB 1334
FAS-213580-2218-1-1-001,15,HEB 1381
FAS-218850-2218-1-1-001,13,HEB 1404
FAS-204010-2218-1-1-001,16,HEB 1410
FAS-218715-2218-1-1-001,6,HEB 1406
FAS-208048-2218-1-1-001,60,HEB 1392
FAS-156174-2218-1-1-001,9,HEB 1480
FAS-110440-2218-1-1-001,87,HUMAN 10A
FAS-122550-2218-1-1-001,68,HUMAN 20
FAS-203507-2218-1-1-002,15,LING 73A
FAS-216637-2218-1-1-002,13,HUMAN 90
FAS-203507-2218-1-1-001,16,LING 73A
FAS-113749-2218-1-1-001,7,LING 98A
FAS-205111-2218-1-1-001,6,LING 73C
FAS-110785-2218-1-1-001,55,LING 101
FAS-125790-2218-1-1-001,13,LING 104
FAS-111954-2218-1-1-001,59,LING 105
FAS-123850-2218-1-1-001,23,LING 108
FAS-123439-2218-1-1-001,6,LING 115
FAS-138303-2218-1-1-001,8,LING 241A
FAS-115947-2218-1-1-001,13,LING 171
FAS-204095-2218-1-1-001,20,MATH ESPA
FAS-111010-2218-1-1-001,265,MATH 1B
FAS-218229-2218-1-1-001,36,MATH QA
FAS-123680-2218-1-1-001,251,MATH 1A
FAS-111161-2218-1-1-001,238,MATH MA
FAS-125396-2218-1-1-001,55,MATH 18A
FAS-110596-2218-1-1-001,29,MATH 19A
FAS-119196-2218-1-1-001,270,MATH 21A
FAS-110989-2218-1-1-001,122,MATH 21B
FAS-207485-2218-1-1-001,211,MATH 22A
FAS-110808-2218-1-1-001,29,MATH 25A
FAS-113627-2218-1-1-001,47,MATH 55A
FAS-216307-2218-1-1-001,14,MATH 60R
FAS-122943-2218-1-1-001,29,MATH 101
FAS-117647-2218-1-1-001,11,MATH 99R
FAS-109817-2218-1-1-001,29,MATH 112
FAS-123227-2218-1-1-001,42,MATH 114
FAS-122603-2218-1-1-001,34,MATH 122
FAS-118302-2218-1-1-001,19,MATH 116
FAS-111533-2218-1-1-001,34,MATH 124
FAS-111458-2218-1-1-001,38,MATH 131
FAS-111133-2218-1-1-001,23,MATH 136
FAS-113369-2218-1-1-001,15,MATH 230A
FAS-123238-2218-1-1-001,14,MATH 222
FAS-123243-2218-1-1-001,16,MATH 231A
FAS-119502-2218-1-1-001,31,MATH 242
FAS-123441-2218-1-1-001,14,MATH 232A
FAS-218250-2218-1-1-001,51,MATH 286Y
FAS-218243-2218-1-1-001,35,MATH 251Y
FAS-127207-2218-1-1-001,16,BBS 301
FAS-218245-2218-1-1-001,25,MATH 288Y
FAS-156089-2218-1-1-001,47,BBS 330
FAS-116477-2218-1-1-001,72,BCMP 200
FAS-122596-2218-1-1-001,16,BCMP 218
FAS-114740-2218-1-1-001,17,BCMP 230
FAS-208016-2218-1-1-001,16,BMIF 201
FAS-107400-2218-1-1-001,13,CELLBIO 306QC
FAS-107400-2218-1-1-PM,8,CELLBIO 306QC
FAS-113752-2218-1-1-001,67,GENETIC 201
FAS-148547-2218-1-1-001,30,IMMUN 201
FAS-109394-2218-1-1-001,14,HBTM 235
FAS-130614-2218-F2-1-001,15,IMMUN 307QC
FAS-127507-2218-1-1-001,168,MED-SCI 300QC
FAS-109073-2218-1-1-001,115,MED-SCI 302QC
FAS-161280-2218-F2-1-001,13,MED-SCI 316QC
FAS-126269-2218-1-1-001,8,MICROBI 202
FAS-205295-2218-1-1-001,26,NEUROBIO 215A
FAS-216813-2218-1-1-001,15,NEUROBIO 212
FAS-205051-2218-1-1-001,12,NEUROBIO 308QC
FAS-108213-2218-1-1-001,6,SHBT 201
FAS-116413-2218-1-1-001,9,VIROLOGY 200
FAS-117649-2218-1-1-001,9,VIROLOGY 202
FAS-205890-2218-1-1-001,9,MEDVLSTD 111
FAS-128215-2218-1-1-1,12,MBB 980F
FAS-205158-2218-1-1-1,15,MBB 980P
FAS-109230-2218-1-1-001,6,MEDVLSTD 250
FAS-207090-2218-1-1-1,17,MBB 980R
FAS-121189-2218-1-1-001,363,LIFESCI 1A
FAS-159706-2218-1-1-001,39,LIFESCI 50A
FAS-119061-2218-1-1-001,20,LIFESCI 100
FAS-110424-2218-1-1-001,108,MCB 60
FAS-110450-2218-1-1-001,41,MCB 63
FAS-117711-2218-1-1-001,230,MCB 80
FAS-122530-2218-1-1-001,27,MCB 99A
FAS-122529-2218-1-1-001,16,MCB 91
FAS-117342-2218-1-1-001,19,MCB 111
FAS-203081-2218-1-1-001,89,MCB 112
FAS-124900-2218-1-1-001,11,MCB 292
FAS-218679-2218-1-1-001,32,MCB 175
FAS-111720-2218-1-1-001,86,MCB 169
FAS-156950-2218-F2-1-001,10,MCB 350
FAS-111353-2218-1-1-001,12,MUSIC 4
FAS-110114-2218-1-1-001,31,MUSIC 14A
FAS-110112-2218-1-1-001,50,MUSIC 10A
FAS-110115-2218-1-1-001,34,MUSIC 15A
FAS-125212-2218-1-1-001,16,MUSIC 51A
FAS-110128-2218-1-1-001,40,MUSIC 16A
FAS-000018-2218-1-1-001,15,MUSIC 18A
FAS-204967-2218-1-1-001,24,MUSIC 97L
FAS-138072-2218-1-1-001,13,MUSIC 142R
FAS-127668-2218-1-1-001,20,MUSIC 123R
FAS-118185-2218-1-1-001,10,MUSIC 167
FAS-218277-2218-1-1-001,9,MUSIC 159R
FAS-114188-2218-1-1-001,7,MUSIC 150
FAS-108982-2218-1-1-001,35,MUSIC 175R
FAS-111399-2218-1-1-001,9,MUSIC 180R
FAS-153042-2218-1-1-001,37,MUSIC 189R
FAS-124044-2218-1-1-SEM,7,MUSIC 221R
FAS-111123-2218-1-1-001,6,MUSIC 264R
FAS-116746-2218-1-1-001,17,ARABIC AA
FAS-116746-2218-1-1-002,10,ARABIC AA
FAS-218677-2218-1-1-001,9,MUSIC 286R
FAS-118849-2218-1-1-001,19,ANE 120A
FAS-116746-2218-1-1-004,11,ARABIC AA
FAS-116746-2218-1-1-003,6,ARABIC AA
FAS-109425-2218-1-1-001,10,ARABIC BA
FAS-121346-2218-1-1-001,14,ARABIC 131A
FAS-109425-2218-1-1-002,6,ARABIC BA
FAS-112869-2218-1-1-001,10,ARABIC 241AR
FAS-121346-2218-1-1-002,10,ARABIC 131A
FAS-121928-2218-1-1-001,34,ISLAMCIV 145A
FAS-161217-2218-1-2-001,16,ISLAMCIV 184
FAS-108971-2218-1-1-001,8,ARABIC 242AR
FAS-110947-2218-1-1-001,6,MOD-HEB 120A
FAS-114218-2218-1-1-001,9,MOD-HEB BA
FAS-107349-2218-1-1-001,21,MODMDEST 100
FAS-119630-2218-1-1-001,5,MOD-HEB 130A
FAS-117327-2218-1-1-001,17,MODMDEST 200A
FAS-123051-2218-1-1-001,9,PERSIAN AA
FAS-119874-2218-1-1-001,5,YIDDISH BA
FAS-113576-2218-1-1-001,6,TURKISH 120A
FAS-207476-2218-1-1-001,230,NEURO 80
FAS-212830-2218-1-1-001,15,NEURO 145
FAS-205105-2218-1-1-001,27,NEURO 120
FAS-212832-2218-1-1-001,19,NEURO 1202
FAS-123674-2218-1-1-001,161,LIFESCI 2
FAS-144594-2218-1-1-001,68,OEB 10
FAS-142224-2218-1-1-001,21,OEB 53
FAS-130236-2218-1-1-001,17,OEB 50
FAS-218751-2218-1-1-001,37,OEB 65
FAS-145857-2218-1-1-001,17,OEB 145
FAS-131261-2218-1-1-001,9,OEB 212R
FAS-142688-2218-1-1-001,13,OEB 155R
FAS-145414-2218-1-1-001,8,OEB 230
FAS-148242-2218-1-1-001,10,OEB 399
FAS-133181-2218-1-1-001,29,PHIL 6
FAS-108031-2218-1-1-001,25,PHIL 19
FAS-132738-2218-1-1-001,64,PHIL 14
FAS-156186-2218-1-1-001,17,PHIL 11
FAS-218341-2218-1-1-001,29,PHIL 27
FAS-109600-2218-1-1-001,88,PHIL 34
FAS-218342-2218-1-1-001,22,PHIL 40
FAS-121759-2218-1-1-001,11,PHIL 103
FAS-156021-2218-1-1-001,13,PHIL 117
FAS-113573-2218-1-1-001,15,PHIL 137
FAS-000138-2218-1-1-001,34,PHIL 138
FAS-117823-2218-1-1-001,41,PHIL 129
FAS-112463-2218-1-1-001,11,PHIL 175
FAS-218324-2218-1-1-001,20,PHIL 159A
FAS-116996-2218-1-1-001,13,PHIL 177I
FAS-111785-2218-1-1-001,28,PHIL 187
FAS-218280-2218-1-1-001,25,PHIL 248
FAS-122575-2218-1-1-001,187,PHYSCI 2
FAS-111164-2218-1-1-001,76,PHYSICS 15A
FAS-109457-2218-1-1-001,71,PHYSCI 12B
FAS-111896-2218-1-1-001,35,PHYSICS 15B
FAS-124154-2218-1-1-001,50,PHYSICS 15C
FAS-111197-2218-1-1-001,22,PHYSICS 16
FAS-121885-2218-1-1-001,6,PHYSICS 141
FAS-111967-2218-1-1-001,7,PHYSICS 95
FAS-207005-2218-1-1-001,41,PHYSICS 19
FAS-121993-2218-1-1-001,10,PHYSICS 191
FAS-108465-2218-1-1-001,25,PHYSICS 143A
FAS-111231-2218-1-1-001,22,PHYSICS 151
FAS-111731-2218-1-1-001,16,PHYSICS 143B
FAS-111314-2218-1-1-001,15,PHYSICS 251A
FAS-112107-2218-1-1-001,27,PHYSICS 195A
FAS-218167-2218-1-1-001,16,PHYSICS 223A
FAS-122930-2218-1-1-001,27,PHYSICS 253A
FAS-122818-2218-1-1-001,13,PHYSICS 268AR
FAS-110526-2218-1-1-001,57,PHYSICS 262
FAS-203329-2218-1-1-001,42,PHS 2000A
FAS-118509-2218-1-1-001,51,PHYSICS 285B
FAS-126551-2218-1-1-001,33,PSY 14
FAS-114178-2218-1-1-001,104,PSY 15
FAS-123941-2218-1-1-001,382,PSY 1
FAS-203208-2218-1-1-001,19,PSY 1202
FAS-126556-2218-1-1-001,114,PSY 1005
FAS-216078-2218-1-1-001,18,PSY 1015
FAS-116622-2218-1-1-001,23,PSY 1304
FAS-122224-2218-1-1-001,84,PSY 1201
FAS-216446-2218-1-1-001,13,PSY 1521
FAS-207573-2218-1-1-001,28,PSY 1309
FAS-218502-2218-1-1-001,37,PSY 1523
FAS-216386-2218-1-1-001,14,PSY 1525
FAS-216126-2218-1-1-001,14,PSY 1340
FAS-218508-2218-1-1-001,12,PSY 1708
FAS-125979-2218-1-1-001,10,PSY 1654
FAS-218489-2218-1-1-001,15,PSY 1533
FAS-216447-2218-1-1-001,9,PSY 1531
FAS-123305-2218-1-1-001,15,PSY 1750
FAS-218511-2218-1-1-001,10,PSY 1811
FAS-218525-2218-1-1-001,14,PSY 1816
FAS-118254-2218-1-1-001,129,PSY 1900
FAS-127078-2218-1-1-001,49,PSY 1901
FAS-116095-2218-1-1-001,62,PSY 1861
FAS-121738-2218-1-1-001,17,PSY 1950
FAS-118790-2218-1-1-001,8,PSY 2010
FAS-117820-2218-1-1-001,11,PSY 2400
FAS-207497-2218-1-1-001,10,PSY 2301
FAS-119124-2218-1-1-001,9,PSY 2461R
FAS-160667-2218-1-1-001,25,PSY 2030
FAS-120559-2218-1-1-001,14,PSY 2553R
FAS-115582-2218-1-1-001,12,PSY 3340
FAS-113780-2218-1-1-001,5,PSY 2580R
FAS-156623-2218-1-1-001,8,PSY 2560R
FAS-114362-2218-1-1-001,8,PSY 2660R
FAS-208031-2218-1-1-1,23,RSEA 350
FAS-107859-2218-1-1-01,11,RELIGION 40
FAS-125125-2218-1-1-01,8,RELIGION 55
FAS-216807-2218-1-1-01,10,RELIGION 1049
FAS-156249-2218-1-1-01,5,RELIGION 1512
FAS-161217-2218-1-1-01,16,RELIGION 1814
FAS-217619-2218-1-1-001,9,FRENCH 62
FAS-122916-2218-1-1-001,10,RELIGION 2002
FAS-126942-2218-1-1-002,12,FRENCH 30
FAS-217619-2218-1-1-002,6,FRENCH 62
FAS-112005-2218-1-1-001,6,FRENCH 70A
FAS-109826-2218-1-1-001,10,FRENCH 80
FAS-207932-2218-1-1-001,10,FRENCH 88
FAS-126038-2218-1-1-001,14,FRENCH 180
FAS-113814-2218-1-1-001,11,ITAL 10
FAS-113814-2218-1-1-004,7,ITAL 10
FAS-113814-2218-1-1-002,9,ITAL 10
FAS-207950-2218-1-1-001,21,ITAL 138
FAS-113814-2218-1-1-003,10,ITAL 10
FAS-124524-2218-1-1-001,9,PORTUG 40
FAS-114200-2218-1-1-001,10,SPANSH 30
FAS-205260-2218-1-2-001,12,ROM-STD 201
FAS-125058-2218-1-1-002,16,SPANSH 11
FAS-125058-2218-1-1-003,16,SPANSH 11
FAS-115920-2218-1-1-002,7,SPANSH 50
FAS-109820-2218-1-1-001,16,SPANSH 49H
FAS-127573-2218-1-1-003,11,SPANSH 61N
FAS-115919-2218-1-1-001,10,SPANSH 59
FAS-127573-2218-1-1-001,13,SPANSH 61N
FAS-109772-2218-1-1-001,14,SPANSH 89
FAS-110578-2218-1-1-001,7,SPANSH 70B
FAS-141012-2218-1-1-001,20,SPANSH 122
FAS-218536-2218-1-1-001,16,SPANSH 147
FAS-217638-2218-1-1-001,9,SPANSH 129R
FAS-108816-2218-1-1-001,7,RSRA 298A
FAS-108818-2218-1-1-001,10,RSRA 299A
FAS-110074-2218-1-1-001,7,BCS BA
FAS-122907-2218-1-1-002,6,RUSS AA
FAS-109342-2218-1-1-001,5,PLSH CR
FAS-112823-2218-1-1-001,11,RUSS BA
FAS-120717-2218-1-1-001,11,RUSS 101
FAS-218659-2218-1-1-001,10,RUSS HA
FAS-110859-2218-1-1-001,8,RUSS 111
FAS-127533-2218-1-1-001,10,RUSS 113
FAS-218532-2218-1-1-001,16,SLAVIC 118
FAS-215995-2218-1-1-001,27,SLAVIC 121
FAS-218574-2218-1-1-001,14,SLAVIC 144
FAS-205015-2218-1-1-001,13,SLAVIC 189
FAS-115470-2218-1-1-001,103,SOC-STD 10A
FAS-218541-2218-1-1-001,9,SLAVIC 262
FAS-213383-2218-1-1-001,9,SOC-STD 60
FAS-218231-2218-1-1-001,35,SOC-STD 96AP
FAS-218582-2218-1-1-001,12,SOC-STD 68RJ
FAS-116329-2218-1-1-001,10,SOC-STD 98AX
FAS-115179-2218-1-1-001,7,SOC-STD 98DX
FAS-127817-2218-1-1-001,9,SOC-STD 98NB
FAS-125982-2218-1-1-001,10,SOC-STD 98LF
FAS-156263-2218-1-1-001,10,SOC-STD 98PV
FAS-213296-2218-1-1-001,7,SOC-STD 98SM
FAS-216073-2218-1-1-001,9,SOC-STD 98TD
FAS-218304-2218-1-1-001,9,SOC-STD 98UB
FAS-115130-2218-1-1-001,42,SOCIOL 97
FAS-205091-2218-1-1-001,11,SOCIOL 98DA
FAS-215924-2218-1-1-001,11,SOCIOL 98AC
FAS-212727-2218-1-1-001,43,SOCIOL 1046
FAS-117946-2218-1-1-001,11,SOCIOL 99A
FAS-203333-2218-1-1-001,16,SOCIOL 1104
FAS-141657-2218-1-1-001,18,SOCIOL 1112
FAS-203368-2218-1-1-001,26,SOCIOL 1131
FAS-212659-2218-1-1-001,34,SOCIOL 1152
FAS-218204-2218-1-1-001,13,SOCIOL 1159
FAS-218200-2218-1-1-001,22,SOCIOL 1136
FAS-218199-2218-1-1-001,12,SOCIOL 1163
FAS-218201-2218-1-1-001,30,SOCIOL 1166
FAS-218202-2218-1-1-001,18,SOCIOL 1173
FAS-109680-2218-1-1-001,20,SOCIOL 1181
FAS-218203-2218-1-1-001,12,SOCIOL 1177
FAS-203272-2218-1-1-001,32,SOCIOL 1186
FAS-119985-2218-1-1-001,8,SOCIOL 2202
FAS-218279-2218-1-1-SEM,12,SOCIOL 2282
FAS-111781-2218-1-1-001,13,SOCIOL 3305
FAS-108137-2218-1-1-001,13,SOCIOL 3310
FAS-218268-2218-1-1-SEM,7,SOCIOL 2278
FAS-112874-2218-1-1-001,10,SOCIOL 2203
FAS-113639-2218-1-1-001,17,HIND-URD 101A
FAS-117877-2218-1-1-001,11,SOCIOL 2204
FAS-114270-2218-1-1-001,6,SANSKRIT 102AR
FAS-112079-2218-1-1-001,16,HIND-URD 102A
FAS-123045-2218-1-1-001,10,SANSKRIT 101A
FAS-113324-2218-1-1-001,9,SANSKRIT 200AR
FAS-127491-2218-1-1-001,5,TAM 101A
FAS-114027-2218-1-1-001,112,STAT 104
FAS-159964-2218-1-1-001,28,STAT 99R
FAS-110766-2218-1-1-001,646,STAT 110
FAS-156425-2218-1-1-001,32,STAT 120
FAS-160736-2218-1-1-001,13,STAT 151
FAS-203101-2218-1-1-001,230,STAT 121A
FAS-110751-2218-1-1-001,76,STAT 139
FAS-111696-2218-1-1-001,60,STAT 210
FAS-127856-2218-1-1-001,18,STAT 244
FAS-218350-2218-1-1-001,15,STAT 216
FAS-111130-2218-1-1-001,43,STAT 211
FAS-110392-2218-1-1-001,13,STAT 300HFRA
FAS-125800-2218-1-1-001,43,SCRB 10
FAS-125804-2218-1-1-001,20,SCRB 91R
FAS-212688-2218-1-1-001,11,SCRB 111
FAS-128041-2218-1-1-001,30,SCRB 175
FAS-213478-2218-1-1-001,50,STAT 185
FAS-125185-2218-1-1-01,11,SCRB 190
FAS-204006-2218-1-1-001,20,SCRB 195
FAS-204358-2218-1-1-01,32,SCRB 197
FAS-218466-2218-1-1-01,32,SCRB 297
FAS-216826-2218-1-1-001,11,SYSBIO 232
FAS-207571-2218-1-1-001,12,TDM 109
FAS-218290-2218-1-1-001,37,LPCE 101
FAS-160647-2218-1-1-001,7,TDM 98
FAS-117461-2218-1-1-001,12,TDM 111
FAS-118497-2218-1-1-001,14,TDM 119
FAS-160654-2218-1-1-001,14,TDM 120
FAS-215995-2218-1-2-001,27,TDM 121K
FAS-123080-2218-1-1-001,8,TDM 130R
FAS-207819-2218-1-1-001,8,TDM 164H
FAS-217446-2218-1-1-001,23,TDM 149
FAS-215988-2218-1-1-001,14,TDM 169S
FAS-156461-2218-1-1-001,12,TDM 173X
FAS-217585-2218-1-1-001,21,TDM 182B
FAS-120677-2218-1-1-001,16,WOMGEN 97
FAS-217409-2218-1-1-001,11,TDM 181B
FAS-108619-2218-1-1-001,16,WOMGEN 1127
FAS-208114-2218-1-2-0001,31,WOMGEN 1204
FAS-142819-2218-1-1-01,11,WOMGEN 1210FT
FAS-126957-2218-1-1-001,17,WOMGEN 1421
FAS-205489-2218-1-1-001,14,WOMGEN 1217
FAS-207804-2218-1-2-001,15,WOMGEN 1283
