fas_code,enrollment,course_code
FAS-218326-2218-1-1-001,16,CLASARCH 146
FAS-116729-2218-1-1-001,17,CLS-STDY 97A
FAS-218328-2218-1-1-001,9,CLS-STDY 134
FAS-203024-2218-1-1-001,7,GREEK 1
FAS-203025-2218-1-1-001,22,LATIN 1
FAS-203024-2218-1-1-002,7,GREEK 1
FAS-122177-2218-1-1-001,8,LATIN AX
FAS-203025-2218-1-1-002,13,LATIN 1
FAS-203228-2218-1-1-001,11,LATIN 10
FAS-126735-2218-1-1-001,6,LATIN 105
FAS-218242-2218-1-1-001,12,LATIN 175
FAS-218356-2218-1-1-001,15,COMPLIT 120
FAS-123897-2218-1-1-001,11,COMPLIT 121
FAS-159840-2218-1-1-001,10,MODGRK AA
FAS-212724-2218-1-1-001,15,COMPLIT 156
FAS-218354-2218-1-1-001,35,COMPLIT 175
FAS-212942-2218-1-1-001,27,COMPLIT 212
FAS-125848-2218-1-1-001,8,COMPLIT 252
FAS-214533-2218-1-1-001,10,COMPLIT 260
FAS-108896-2218-1-1-001,6,COMPLIT 298
FAS-128209-2218-1-1-001,10,COMPLIT 274
FAS-111650-2218-1-1-001,9,COMPLIT 299AR
FAS-152514-2218-1-1-001,686,COMPSCI 50
FAS-125407-2218-1-1-001,45,COMPSCI 105
FAS-123623-2218-1-1-001,199,COMPSCI 61
FAS-216324-2218-1-1-001,146,COMPSCI 107
FAS-109899-2218-1-1-001,230,COMPSCI 109A
FAS-119064-2218-1-1-001,134,COMPSCI 121
FAS-218613-2218-1-1-001,89,COMPSCI 120
FAS-109566-2218-1-1-001,41,COMPSCI 127
FAS-128164-2218-1-1-001,129,COMPSCI 136
FAS-131493-2218-1-1-001,65,COMPSCI 153
FAS-119249-2218-1-1-001,24,COMPSCI 165
FAS-124364-2218-1-1-001,65,COMPSCI 171
FAS-117372-2218-1-1-001,85,COMPSCI 187
FAS-110661-2218-1-1-001,71,COMPSCI 182
FAS-213331-2218-1-1-001,41,COMPSCI 227
FAS-160624-2218-1-1-001,60,COMPSCI 242
FAS-160579-2218-1-1-001,36,COMPSCI 263
FAS-114807-2218-1-1-001,12,COMPSCI 252R
FAS-213653-2218-1-1-001,28,COMPSCI 282BR
FAS-156936-2218-1-1-001,13,COMPSCI 282R
FAS-112867-2218-1-1-001,30,COMPSCI 287R
FAS-120238-2218-1-1-001,22,COMPSCI 289
FAS-113944-2218-1-1-001,17,COMPSCI 283
FAS-216811-2218-1-1-001,27,COMPSCI 290A
FAS-203888-2218-1-1-001,33,E-PSCI 10
FAS-128224-2218-1-1-001,25,E-PSCI 50
FAS-126174-2218-1-1-001,8,E-PSCI 53
FAS-126141-2218-1-1-001,14,E-PSCI 134
FAS-111855-2218-1-1-001,10,E-PSCI 200
FAS-216421-2218-1-1-001,31,E-PSCI 168
FAS-122549-2218-1-1-001,14,E-PSCI 208
FAS-120783-2218-1-1-001,9,E-PSCI 236
FAS-218700-2218-1-1-001,12,E-PSCI 275
FAS-113873-2218-1-1-002,9,CHNSE BA
FAS-113873-2218-1-1-003,18,CHNSE BA
FAS-113873-2218-1-1-001,35,CHNSE BA
FAS-113873-2218-1-1-005,18,CHNSE BA
FAS-113873-2218-1-1-004,14,CHNSE BA
FAS-120305-2218-1-1-001,12,CHNSE BX
FAS-120305-2218-1-1-002,14,CHNSE BX
FAS-120305-2218-1-1-003,11,CHNSE BX
FAS-113793-2218-1-1-001,19,CHNSE 120A
FAS-113793-2218-1-1-002,10,CHNSE 120A
FAS-110543-2218-1-1-001,7,CHNSE 106A
FAS-113793-2218-1-1-003,12,CHNSE 120A
FAS-159629-2218-1-1-001,13,CHNSE 130A
FAS-159629-2218-1-1-002,12,CHNSE 130A
FAS-159629-2218-1-1-003,17,CHNSE 130A
FAS-124235-2218-1-1-001,11,CHNSE 130XA
FAS-124235-2218-1-1-002,9,CHNSE 130XA
FAS-111129-2218-1-1-002,9,CHNSE 140A
FAS-207494-2218-1-1-002,10,CHNSE 140XA
FAS-207494-2218-1-1-001,9,CHNSE 140XA
FAS-127774-2218-1-1-01,8,CHNSHIS 229R
FAS-117082-2218-1-1-01,8,CHNSHIS 232R
FAS-125694-2218-1-1-01,10,CHNSHIS 253
FAS-125194-2218-1-1-01,7,CHNSLIT 114
FAS-108229-2218-1-1-01,13,CHNSLIT 140
FAS-123508-2218-1-1-01,9,EAFM 200
FAS-203529-2218-1-1-01,10,CHNSLIT 212
FAS-218171-2218-1-1-01,13,EASTD 194
FAS-111193-2218-1-1-001,27,JAPAN BA
FAS-111193-2218-1-1-003,11,JAPAN BA
FAS-215837-2218-1-1-01,41,EASTD 199
FAS-111193-2218-1-1-002,13,JAPAN BA
FAS-159595-2218-1-1-001,11,JAPAN 120A
FAS-114292-2218-1-1-001,10,JAPAN 130A
FAS-114292-2218-1-1-002,8,JAPAN 130A
FAS-159595-2218-1-1-002,7,JAPAN 120A
FAS-125813-2218-1-1-001,8,JAPAN 210A
FAS-123007-2218-1-1-01,12,JAPNLIT 124
FAS-124296-2218-1-1-002,20,KOREAN BA
FAS-124296-2218-1-1-003,6,KOREAN BA
FAS-124296-2218-1-1-001,19,KOREAN BA
FAS-114383-2218-1-1-001,13,KOREAN BX
FAS-117220-2218-1-1-001,17,KOREAN 120A
FAS-116633-2218-1-1-001,6,KOREAN 140A
FAS-111235-2218-1-1-001,10,KOREAN 130A
FAS-218365-2218-1-1-01,6,KORHIST 141
FAS-205281-2218-1-1-01,8,KORLIT 134
FAS-113326-2218-1-1-001,764,ECON 10A
FAS-116266-2218-1-1-001,12,VIETNAM BA
FAS-218117-2218-1-1-001,68,ECON 70
FAS-122752-2218-1-1-T08,10,ECON 970
FAS-120541-2218-1-1-S01,8,ECON 985A
FAS-112062-2218-1-1-001,96,ECON 1010B
FAS-159994-2218-1-1-001,5,ECON 990B
FAS-108901-2218-1-1-001,356,ECON 1010A
FAS-120711-2218-1-1-001,86,ECON 1011A
FAS-119951-2218-1-1-001,233,ECON 1017
FAS-203555-2218-1-1-001,49,ECON 1057
FAS-218817-2218-1-1-001,171,ECON 1021
FAS-160362-2218-1-1-001,6,ECON 1080
FAS-113637-2218-1-1-001,58,ECON 1126
FAS-117818-2218-1-1-001,32,ECON 1410
FAS-123003-2218-1-1-001,41,ECON 1420
FAS-123033-2218-1-1-001,119,ECON 1123
FAS-211204-2218-1-1-001,48,ECON 1436
FAS-127519-2218-1-1-001,25,ECON 1432
FAS-217408-2218-1-1-001,15,ECON 1499
FAS-111749-2218-1-1-001,9,ECON 1535
FAS-111477-2218-1-1-001,33,ECON 1545
FAS-217793-2218-1-1-001,96,ECON 1644
FAS-111105-2218-1-1-001,26,ECON 1723
FAS-107388-2218-1-1-001,10,ECON 1936
FAS-124134-2218-1-1-001,22,ECON 2010A
FAS-111213-2218-1-1-001,27,ECON 2010C
FAS-112942-2218-1-1-001,41,ECON 2020A
FAS-123849-2218-1-1-001,11,ECON 2040
FAS-120668-2218-1-1-1,25,ECON 2110
FAS-115026-2218-1-1-1,30,ECON 2120
FAS-218280-2218-1-2-001,25,ECON 2248
FAS-207641-2218-1-1-001,15,ECON 2360
FAS-125372-2218-1-1-001,8,ECON 2410A
FAS-110660-2218-1-1-001,28,ECON 2450A
FAS-111998-2218-1-1-001,9,ECON 2723
FAS-113404-2218-1-1-001,20,ECON 2610
